                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.34895,                0.22104,                0.78969,                0.99873,                0.99842,                0.99459,                0.98366,                0.20679,                0.16821,                0.76823,               0.004258,               0.004258,               0.004258
                     61,                0.34666,                0.22045,                0.78905,                0.99875,                0.99842,                0.99459,                0.98375,                0.20612,                0.16795,                0.76816,               0.004159,               0.004159,               0.004159
                     62,                0.34509,                0.21993,                0.78904,                0.99875,                0.99842,                0.99459,                0.98401,                 0.2055,                0.16762,                 0.7681,                0.00406,                0.00406,                0.00406
                     63,                0.34315,                0.21888,                0.78876,                0.99875,                0.99842,                0.99459,                0.98416,                0.20479,                 0.1673,                0.76805,               0.003961,               0.003961,               0.003961
                     64,                0.34058,                0.21778,                0.78856,                0.99876,                0.99843,                 0.9946,                0.98425,                0.20413,                0.16711,                0.76801,               0.003862,               0.003862,               0.003862
                     65,                0.33853,                0.21662,                0.78852,                0.99875,                0.99843,                 0.9946,                0.98434,                0.20343,                0.16664,                0.76795,               0.003763,               0.003763,               0.003763
                     66,                0.33702,                0.21621,                 0.7883,                0.99875,                0.99844,                 0.9946,                0.98445,                0.20277,                0.16627,                0.76791,               0.003664,               0.003664,               0.003664
                     67,                0.33577,                0.21568,                0.78763,                0.99874,                0.99844,                0.99461,                0.98466,                0.20212,                0.16589,                0.76784,               0.003565,               0.003565,               0.003565
                     68,                0.33221,                0.21374,                0.78759,                0.99874,                0.99844,                0.99461,                0.98481,                0.20142,                0.16551,                0.76779,               0.003466,               0.003466,               0.003466
                     69,                0.33043,                0.21303,                0.78744,                0.99873,                0.99843,                0.99461,                0.98493,                0.20068,                0.16515,                0.76772,               0.003367,               0.003367,               0.003367
                     70,                0.32878,                0.21208,                0.78742,                0.99873,                0.99845,                0.99461,                0.98502,                0.19998,                0.16491,                0.76767,               0.003268,               0.003268,               0.003268
                     71,                0.32735,                0.21202,                0.78731,                0.99871,                0.99847,                0.99462,                0.98518,                0.19926,                0.16456,                 0.7676,               0.003169,               0.003169,               0.003169
                     72,                0.32614,                 0.2116,                0.78697,                 0.9987,                0.99849,                0.99463,                0.98526,                 0.1985,                0.16415,                0.76754,                0.00307,                0.00307,                0.00307
                     73,                0.32211,                 0.2097,                 0.7864,                 0.9987,                 0.9985,                0.99463,                0.98547,                0.19785,                0.16387,                0.76747,               0.002971,               0.002971,               0.002971
                     74,                 0.3206,                0.20905,                0.78629,                0.99869,                 0.9985,                0.99463,                0.98576,                0.19718,                0.16356,                0.76741,               0.002872,               0.002872,               0.002872
                     75,                0.31739,                0.20766,                0.78591,                 0.9987,                 0.9985,                0.99463,                0.98584,                0.19638,                0.16324,                0.76734,               0.002773,               0.002773,               0.002773
                     76,                0.31676,                0.20727,                0.78592,                 0.9987,                0.99852,                0.99464,                0.98596,                0.19563,                0.16282,                0.76728,               0.002674,               0.002674,               0.002674
                     77,                0.31437,                0.20608,                0.78588,                 0.9987,                0.99853,                0.99464,                0.98605,                0.19492,                0.16256,                0.76721,               0.002575,               0.002575,               0.002575
                     78,                0.31235,                0.20522,                0.78573,                 0.9987,                0.99853,                0.99464,                 0.9862,                0.19422,                0.16227,                0.76716,               0.002476,               0.002476,               0.002476
                     79,                0.31071,                0.20467,                0.78556,                 0.9987,                0.99853,                0.99464,                0.98633,                0.19346,                0.16193,                0.76711,               0.002377,               0.002377,               0.002377
                     80,                 0.3091,                0.20399,                0.78492,                0.99873,                0.99853,                0.99465,                 0.9864,                0.19276,                0.16148,                0.76707,               0.002278,               0.002278,               0.002278
                     81,                0.30647,                0.20262,                0.78471,                0.99875,                0.99853,                0.99465,                0.98661,                 0.1921,                0.16114,                0.76701,               0.002179,               0.002179,               0.002179
                     82,                0.30519,                0.20227,                0.78489,                0.99875,                0.99853,                0.99465,                0.98671,                 0.1915,                0.16096,                0.76697,                0.00208,                0.00208,                0.00208
                     83,                0.30175,                0.20048,                0.78421,                0.99875,                0.99853,                0.99466,                 0.9868,                0.19092,                0.16081,                0.76693,               0.001981,               0.001981,               0.001981
                     84,                0.30018,                 0.2001,                0.78402,                0.99875,                0.99854,                0.99466,                0.98693,                0.19026,                0.16064,                0.76687,               0.001882,               0.001882,               0.001882
                     85,                0.29888,                0.19973,                0.78402,                0.99874,                0.99855,                0.99466,                0.98699,                0.18955,                0.16061,                 0.7668,               0.001783,               0.001783,               0.001783
                     86,                0.29757,                0.19935,                0.78412,                0.99875,                0.99855,                0.99466,                0.98723,                0.18892,                0.16032,                0.76673,               0.001684,               0.001684,               0.001684
                     87,                0.29427,                0.19737,                0.78368,                0.99875,                0.99855,                0.99467,                 0.9873,                0.18825,                0.16019,                0.76665,               0.001585,               0.001585,               0.001585
                     88,                0.29312,                0.19721,                0.78355,                0.99875,                0.99853,                0.99467,                0.98739,                0.18767,                0.16003,                0.76659,               0.001486,               0.001486,               0.001486
                     89,                0.29025,                0.19588,                0.78329,                0.99874,                0.99853,                0.99468,                0.98754,                0.18707,                0.15996,                0.76652,               0.001387,               0.001387,               0.001387
                     90,                 0.2897,                0.19559,                0.78323,                0.99875,                0.99852,                0.99468,                0.98763,                0.18664,                 0.1598,                0.76645,               0.001288,               0.001288,               0.001288
                     91,                0.24339,                0.17013,                0.77365,                0.99874,                0.99852,                0.99469,                 0.9877,                0.18608,                0.15956,                0.76637,               0.001189,               0.001189,               0.001189
                     92,                0.23466,                0.16581,                0.77299,                0.99871,                0.99859,                0.99469,                0.98781,                0.18528,                0.15885,                0.76628,                0.00109,                0.00109,                0.00109
                     93,                0.23051,                0.16395,                0.77204,                0.99867,                0.99862,                 0.9947,                0.98795,                 0.1843,                0.15801,                0.76617,               0.000991,               0.000991,               0.000991
                     94,                0.22592,                0.16182,                 0.7719,                0.99868,                0.99862,                0.99471,                0.98814,                0.18322,                 0.1573,                0.76606,               0.000892,               0.000892,               0.000892
                     95,                0.22236,                0.16014,                0.77148,                0.99869,                0.99861,                0.99472,                0.98826,                0.18215,                0.15634,                0.76595,               0.000793,               0.000793,               0.000793
                     96,                0.21955,                 0.1588,                0.77119,                 0.9987,                0.99862,                0.99473,                0.98851,                 0.1812,                0.15549,                0.76585,               0.000694,               0.000694,               0.000694
                     97,                0.21699,                0.15755,                0.77082,                 0.9987,                0.99862,                0.99473,                0.98863,                0.18031,                0.15487,                0.76575,               0.000595,               0.000595,               0.000595
                     98,                0.21401,                0.15624,                0.77049,                0.99872,                0.99861,                0.99474,                0.98886,                0.17935,                 0.1542,                0.76564,               0.000496,               0.000496,               0.000496
                     99,                0.21127,                0.15512,                0.77002,                0.99869,                0.99866,                0.99475,                0.98895,                0.17845,                0.15368,                0.76552,               0.000397,               0.000397,               0.000397
                    100,                0.20853,                0.15386,                0.77003,                0.99868,                0.99866,                0.99475,                 0.9891,                0.17751,                0.15307,                0.76541,               0.000298,               0.000298,               0.000298
